52,9
56,59
62,39
15,67
2,3
23,62
39,59
20,45
28,41
45,58
57,80
43,26
55,10
70,27
79,20
56,48
43,30
77,19
66,40
53,9
27,1
42,31
47,10
77,22
16,89
42,25
87,81
1,10
34,21
10,62
81,18
18,73
79,10
19,53
48,29
85,15
63,78
41,75
53,55
63,81
1,48
85,27
30,55
67,76
44,47
79,58
31,1
68,47
86,22
39,76
75,66
12,65
4,35
21,15
2,27
26,19
8,13
23,54
19,51
2,20
61,25
74,65
18,27
9,22
77,25
79,81
41,21
66,87
3,46
26,86
40,67
58,15
38,18
11,7
24,25
56,53
36,55
33,5
59,7
64,44
22,66
45,61
22,80
77,29
33,60
2,25
75,76
44,70
89,4
31,41
24,78
45,89
68,52
7,69
55,18
52,55
62,78
26,36
58,17
14,65
